Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,NOAA,162.55,,0,,88.5,88.5,,,FM,5,S,,,,
1,ISS,145.8,,0,,88.5,88.5,,,FM,5,,,,,
2,CU 2M,146.76,-,0.6,TSQL,162.2,162.2,,,FM,5,,,,,
3,CU 70CM,444.1,-,5,TSQL,162.2,162.2,,,FM,5,,,,,
4,PROVENA,461.625,,0,,88.5,88.5,,,FM,5,S,,,,
5,CLMAINT,463.45,,0,,88.5,88.5,,,FM,5,S,,,,
6,CLSHTTL,464.425,,0,,88.5,88.5,,,FM,5,S,,,,
7,CWEATHR,146.55,,0,,88.5,88.5,,,FM,5,S,,,,
8,PMAINT,453.575,,0,TSQL,151.4,151.4,,,FM,5,S,,,,
9,CUROADS,159.015,,0,TSQL,151.4,151.4,,,FM,5,,,,,
10,SAVOY,151.01,,0,DTCS,88.5,88.5,,,FM,5,,,,,
11,CUMTD,453.775,,0,TSQL,131.8,131.8,,,FM,5,,,,,
12,CFIRE,154.25,,0,TSQL,131.8,131.8,,,FM,5,,,,,
13,PARKING,453.75,,0,Tone,123,88.5,,,FM,5,S,,,,
14,BECKMAN,461.8125,,0,DTCS,88.5,88.5,,,FM,5,S,,,,
15,GM-FRS1,462.5625,,0,,88.5,88.5,,,NFM,5,S,,,,
16,GM-FRS2,462.5875,,0,,88.5,88.5,,,NFM,5,S,,,,
17,GM-FRS3,462.6125,,0,,88.5,88.5,,,NFM,5,S,,,,
18,GM-FRS4,462.6375,,0,,88.5,88.5,,,NFM,5,S,,,,
19,GM-FRS5,462.6625,,0,,88.5,88.5,,,NFM,5,S,,,,
20,GM-FRS6,462.6875,,0,,88.5,88.5,,,NFM,5,S,,,,
21,GM-FRS7,462.7125,,0,,88.5,88.5,,,NFM,5,S,,,,
22,FRS8,467.5625,,0,,88.5,88.5,,,NFM,5,S,,,,
23,FRS9,467.5875,,0,,88.5,88.5,,,NFM,5,S,,,,
24,FRS10,467.6125,,0,,88.5,88.5,,,NFM,5,S,,,,
25,FRS11,467.6375,,0,,88.5,88.5,,,NFM,5,S,,,,
26,FRS12,467.6625,,0,,88.5,88.5,,,NFM,5,S,,,,
27,FRS13,467.6875,,0,,88.5,88.5,,,NFM,5,S,,,,
28,FRS14,467.7125,,0,,88.5,88.5,,,NFM,5,S,,,,
29,GMRS15,462.55,,0,,88.5,88.5,,,NFM,5,S,,,,
30,GMRS16,462.575,,0,,88.5,88.5,,,NFM,5,S,,,,
31,GMRS17,462.6,,0,,88.5,88.5,,,NFM,5,S,,,,
32,GMRS18,462.625,,0,,88.5,88.5,,,NFM,5,S,,,,
33,GMRS19,462.65,,0,,88.5,88.5,,,NFM,5,S,,,,
34,GMRS20,462.675,,0,,88.5,88.5,,,NFM,5,S,,,,
35,GMRS21,462.7,,0,,88.5,88.5,,,NFM,5,S,,,,
36,GMRS22,462.725,,0,,88.5,88.5,,,NFM,5,S,,,,
37,MURS 1,151.82,,0,,88.5,88.5,,,NFM,5,S,,,,
38,MURS 2,151.88,,0,,88.5,88.5,,,NFM,5,S,,,,
39,MURS 3,151.94,,0,,88.5,88.5,,,NFM,5,S,,,,
